Top,Restaurant,Longitude,Latitude,Price_RgLv,Category
1,Sakura Sunset,21.05399,-86.781944,High,"Japonesa, Peruana, Mariscos, Asiática, Fusión, Apto para vegetarianos, Opciones veganas, Opciones sin gluten"
2,Restaurante Careyes,21.083757,-86.77237,High,"Fusión, Mariscos, Apto para vegetarianos, Opciones veganas, Opciones sin gluten"
3,Restaurante Benazuza,21.07835,-86.77495,High,"Apto para vegetarianos, Opciones veganas, Opciones sin gluten"
4,Tora Cancún,21.08613,-86.77379,High,"Japonesa, Mariscos, Internacional, Sushi, Asiática, Apto para vegetarianos, Opciones veganas, Opciones sin gluten"
5,The White Box,21.14417,-86.78518,High,"Mariscos, Apto para vegetarianos, Opciones veganas, Opciones sin gluten"
6,Restaurante Chianti,21.114496,-86.75898,High,"Italiana, Apto para vegetarianos, Opciones veganas, Opciones sin gluten"
7,Black Hole,21.053759,-86.78161,High,"Fusión, Opciones sin gluten"
8,Restaurante Condimento,21.073288,-86.77576,Medium,"Internacional, Mexicana, Japonesa, Mediterránea, Apto para vegetarianos, Opciones veganas"
9,Samura Japanese Cuisine & Bar,21.144915,-86.829605,Medium,"Japonesa, Sushi, Asiática, Mariscos, Internacional, Opciones veganas, Opciones sin gluten, Apto para vegetarianos"
10,Deli Barlovento,21.143953,-86.790535,low,"Mexicana, Comida rápida"
11,Peter's Restaurante,21.1575,-86.821434,Medium,"Europea, Internacional, Apto para vegetarianos, Opciones veganas, Opciones sin gluten"
12,El Rinconcito de Puebla,21.161684,-86.82659,low,"Mexicana, Cervecería, Bar"
13,Rosa Negra,21.084988,-86.77455,High,Mexicana
14,Bacoli Tratoria,21.07327,-86.77631,Medium,"Italiana, Pizzería, Europea, Apto para vegetarianos, Opciones veganas, Opciones sin gluten"
15,Taqueria Coapeñitos,21.165983,-86.824104,low,"Mexicana, Comida rápida, Latina, Apto para vegetarianos"
16,La Dolce Vita centro,21.156572,-86.82299,Medium,"Italiana, Europea, Apto para vegetarianos, Opciones veganas, Opciones sin gluten"
17,Flamingos Seafood Kitchen,21.218204,-86.80182,Medium,"Mexicana, Caribeña, Latina, Mariscos, Apto para vegetarianos, Opciones veganas, Opciones sin gluten"
18,Les Cepages Restaurant,21.14137,-86.83147,High,"Francesa, Europea, Contemporánea, Internacional, Apto para vegetarianos, Opciones veganas, Opciones sin gluten"
19,Fantino,21.093037,-86.76791,High,"Europea, Apto para vegetarianos, Opciones veganas, Opciones sin gluten"
20,Maki Taco,21.077656,-86.77364,Medium,"Mexicana, Japonesa, Sushi, Asiática, Apto para vegetarianos, Opciones veganas, Opciones sin gluten"
21,Chuchito Pérez Cancun,21.132399,-86.74757,Medium,"Mexicana, Cervecería, Latina, Contemporánea, Apto para vegetarianos, Opciones veganas, Opciones sin gluten"
22,Crab House Cancún,21.087267,-86.773605,High,"Mariscos, Internacional, Parrilla, Sopas, Apto para vegetarianos, Opciones veganas, Opciones sin gluten"
23,The Bears Den International Kitchen,21.148573,-86.8191,Medium,"Mexicana, Internacional, Fusión, Canadiense, Apto para vegetarianos, Opciones veganas, Opciones sin gluten"
